,Test #,Accuracy,Sensitivity,Specificity
0,0,1.0,1.0,1.0
1,1,0.7816666666666666,1.0,0.5718954248366013
2,2,0.9313893653516295,1.0,0.8490566037735849
3,3,0.9883333333333333,1.0,0.976027397260274
4,4,0.9983277591973244,1.0,0.9972375690607734
5,5,0.9966666666666667,0.9933554817275747,1.0
6,6,0.9983333333333333,0.9963369963369964,1.0
7,7,0.99,0.9842105263157894,1.0
8,8,0.9966666666666667,0.9967105263157895,0.9966216216216216
9,9,0.995,1.0,0.9895104895104895
10,10,0.9983333333333333,1.0,0.996875
11,11,1.0,1.0,1.0
12,12,1.0,1.0,1.0
13,13,0.9716666666666667,1.0,0.948170731707317
14,14,0.998330550918197,0.9964028776978417,1.0
15,15,1.0,1.0,1.0
16,16,1.0,1.0,1.0
17,17,0.9966666666666667,0.9968847352024922,0.996415770609319
