,Test #,Accuracy,Sensitivity,Specificity
0,0,0.5483333333333333,0.3568281938325991,0.6648793565683646
1,1,0.4716666666666667,0.9562043795620438,0.06441717791411043
2,2,0.5797598627787307,0.8652694610778443,0.19678714859437751
3,3,0.5266666666666666,0.865979381443299,0.20711974110032363
4,4,0.580267558528428,0.5892116182572614,0.5742296918767507
5,5,0.495,0.6129032258064516,0.3689655172413793
6,6,0.5816666666666667,0.47307692307692306,0.6647058823529411
7,7,0.5316666666666666,0.5389048991354467,0.5217391304347826
8,8,0.6716666666666666,0.7053291536050157,0.6334519572953736
9,9,0.5683333333333334,0.5045045045045045,0.6479400749063671
10,10,0.48333333333333334,0.4020979020979021,0.5573248407643312
11,11,0.5041736227045075,0.5933333333333334,0.41471571906354515
12,12,0.7683333333333333,0.565625,1.0
13,13,0.485,0.42391304347826086,0.5370370370370371
14,14,0.7629382303839732,0.7195945945945946,0.8052805280528053
15,15,0.6333333333333333,0.7720364741641338,0.46494464944649444
16,16,0.52,0.609271523178808,0.42953020134228187
17,17,0.9983333333333333,1.0,0.9966777408637874
