,Test #,Accuracy,Sensitivity,Specificity
0,0,0.9833333333333333,1.0,0.9734748010610079
1,1,0.6166666666666667,1.0,0.24092409240924093
2,2,0.7049742710120068,1.0,0.3435114503816794
3,3,0.7716666666666666,1.0,0.5107142857142857
4,4,0.9214046822742475,1.0,0.8722826086956522
5,5,0.9783333333333334,0.9873015873015873,0.968421052631579
6,6,0.9616666666666667,1.0,0.936986301369863
7,7,0.9716666666666667,0.9691011235955056,0.9754098360655737
8,8,0.9933333333333333,1.0,0.9873015873015873
9,9,0.9883333333333333,1.0,0.976027397260274
10,10,0.9916666666666667,0.9869281045751634,0.9965986394557823
11,11,0.991652754590985,1.0,0.9832775919732442
12,12,0.9933333333333333,0.987220447284345,1.0
13,13,0.9716666666666667,1.0,0.946875
14,14,0.998330550918197,0.9965870307167235,1.0
15,15,0.9983333333333333,0.9968652037617555,1.0
16,16,1.0,1.0,1.0
17,17,0.995,0.9933554817275747,0.9966555183946488
