,Test #,Accuracy,Sensitivity,Specificity
0,0,0.9983333333333333,1.0,0.9972527472527473
1,1,0.9483333333333334,1.0,0.8990228013029316
2,2,0.9914236706689536,1.0,0.9808429118773946
3,3,0.9966666666666667,1.0,0.9922178988326849
4,4,1.0,1.0,1.0
5,5,1.0,1.0,1.0
6,6,0.9983333333333333,0.9957446808510638,1.0
7,7,0.9933333333333333,0.9921259842519685,0.9954337899543378
8,8,0.9983333333333333,1.0,0.9966329966329966
9,9,0.9933333333333333,0.9938461538461538,0.9927272727272727
10,10,1.0,1.0,1.0
11,11,0.998330550918197,0.9967637540453075,1.0
12,12,1.0,1.0,1.0
13,13,0.9766666666666667,1.0,0.9578313253012049
14,14,1.0,1.0,1.0
15,15,1.0,1.0,1.0
16,16,1.0,1.0,1.0
17,17,1.0,1.0,1.0
