,xdot <= -0.57,thetadot > 1.28,theta <= -1.44,-0.20 < x <= 0.02,thetadot <= -1.13,theta > 1.22,0.02 < x <= 0.29,xdot > 0.63,x <= -0.20,-0.57 < xdot <= 0.00,-1.44 < theta <= 0.00,0.00 < thetadot <= 1.28,0.00 < theta <= 1.22,-1.13 < thetadot <= 0.00,0.00 < xdot <= 0.63,x > 0.29,instance_index
0,-0.6627272758225239,-0.028097202915602283,0.005805668297220041,-0.0023209725900334125,,,,,,,,,,,,,0
1,-0.6700000486879203,,,,0.02708166832113328,-0.022170624490804685,-0.01041520124807977,,,,,,,,,,1
2,,-0.0056922484430023445,,,,-0.01051511890967532,,0.661946773705596,-0.014508205662302948,,,,,,,,2
3,,,,-0.0106807837329534,,,,,,-0.6574624763529612,-0.02085567511730378,0.0016604623800847084,,,,,3
4,-0.6670620243124213,,,,,,,,-0.005891808473369557,,,-0.005368957266813702,-0.011460021222501294,,,,4
5,-0.6563218818678905,,0.01040023032864677,,0.014053119655909442,,,,0.014072450325510528,,,,,,,,5
6,,,,,,,0.03081035915276032,,,-0.6526294110196039,-0.020448120655468034,,,0.0056506350076802195,,,6
7,-0.6635214782291347,,,,,,,,0.0016330319843315005,,,0.0019142135256627266,-0.006391480224944159,,,,7
8,,,,-0.0033333644528370154,,,,,,,,,-0.011541410875950377,-0.002421624888949982,0.6645787036037681,,8
9,-0.6675998568502386,,,,-0.012050218333772471,-0.00022882086348656924,-0.015776936172486652,,,,,,,,,,9
10,-0.6551487458466743,-0.0054803072777308455,,,,,,,0.007517845152647874,,-0.009391864908680622,,,,,,10
11,,,,,,,0.01059637564984755,,,-0.6689843527405467,0.004744976406862269,,,0.00994564592633659,,,11
12,,,,-0.01445579053367154,,,,,,-0.6386941700214717,,,-0.02722578189359987,0.0024077194531654553,,,12
13,,,-0.010557179185901048,0.01355270009936014,,,,0.6493258151248316,,,,,,0.004347353541196742,,,13
14,-0.6579494398427466,,-0.0031839763543305985,,,,,,0.0232795259735505,,,,,0.0019203276657700288,,,14
15,,,,,,,,,,,-0.004887351501793646,,,0.009884238741282038,0.6586424830716667,-0.03122514938531399,15
16,,,,0.0022079968055823047,,,,,,-0.6770607408516317,,,0.00248826243113106,0.017607878623964835,,,16
17,-0.653891451099714,0.01006537940117368,0.023816224874323486,,,,-0.003840629530522911,,,,,,,,,,17
18,,,,-0.002903988138593604,,,,,,-0.6526303231333406,-0.011114378101283856,,,-0.020704299969296878,,,18
19,-0.6748748470308539,,0.015861496558613766,,-0.006059038813423031,,,,-0.0054809428826208,,,,,,,,19
20,,,0.023482641432603847,,,,-0.0214153222863855,,,-0.6545472567535884,,0.036001803602414326,,,,,20
21,-0.6600270258264012,,,,0.016094952683972184,-0.01361271024690264,,,0.014642195123025085,,,,,,,,21
22,-0.654661118686126,-0.0067310665429508925,,,,,-0.012235355043618688,,,,-0.020349950596661875,,,,,,22
23,-0.6562873269134943,,0.0242538249548008,,-0.0027099977178989486,,,,,,,,,,,-0.0028170230474541084,23
24,-0.6795097432934392,,,,,,,,,,,0.00323586663136614,0.008800542055615408,,,-0.012586488159556049,24
25,,,,-0.0003483626329254311,,,,,,-0.6492981750444858,,,-0.010929982819150643,0.001851348830371594,,,25
26,,,,,,,0.0023626292639505123,,,-0.6341211835347196,,0.009256884244318314,-0.012500612739373543,,,,26
27,,-0.018145299033610018,-0.010366945707922418,,,,0.009746925066215023,,,-0.6624751996711101,,,,,,,27
28,,,-0.0005883463843496076,,,,,0.6580404568629051,-0.005039775512861507,,,0.0005771228789099479,,,,,28
29,-0.6766727594411499,,,,-0.021802444855264187,0.016247425578356324,-0.028680686093874502,,,,,,,,,,29
30,,,,-0.005077766372979346,,,,,,-0.6389740882918388,,,0.013211141724451344,-0.02326366569296538,,,30
31,-0.6711536219930403,0.008408458625918115,,,,-0.02243433616295778,-0.020392553408013492,,,,,,,,,,31
32,,-0.006819154452315806,,,,-0.013249237266380184,-0.03037742332382094,0.6706994942880038,,,,,,,,,32
33,-0.6591972691959044,,,,-0.00876378158976339,-0.0023140705645251568,-0.030554404584727086,,,,,,,,,,33
34,,-0.0025316531937804644,-0.014121493936756376,,,,,0.6515999217008057,-0.003529216268411911,,,,,,,,34
35,-0.6646816419250429,9.131305247430147e-05,,,,,-0.008619439560366591,,,,-0.004093215128684535,,,,,,35
36,,,,,,,,,0.007326345316696072,-0.6434392321231449,,0.0018596490295802908,0.01094358105796862,,,,36
37,,,,,-0.0035468020399378043,,,0.6669512141176299,,,-0.018437370400258155,,,,,-0.008601761311251954,37
