,Test #,Accuracy,Sensitivity,Specificity
0,0,0.995,0.9909365558912386,1.0
1,1,0.2916666666666667,1.0,0.0
2,2,0.5231560891938251,1.0,0.0
3,3,0.5883333333333334,1.0,0.0
4,4,1.0,1.0,1.0
5,5,0.9866666666666667,1.0,0.9827956989247312
6,6,1.0,1.0,1.0
7,7,0.9366666666666666,1.0,0.9151785714285714
8,8,1.0,1.0,1.0
9,9,0.9983333333333333,1.0,0.9970238095238095
10,10,0.9966666666666667,0.9948979591836735,0.9975247524752475
11,11,0.8964941569282137,1.0,0.8389610389610389
12,12,0.9916666666666667,1.0,0.9862637362637363
13,13,0.985,0.9900990099009901,0.9839679358717435
14,14,0.996661101836394,0.9953051643192489,1.0
15,15,0.9966666666666667,0.9973753280839895,0.9954337899543378
16,16,0.9766666666666667,0.9948453608247423,0.9679802955665024
17,17,0.9866666666666667,0.9727272727272728,0.9947368421052631
