,xdot <= -0.57,theta <= -1.44,thetadot > 1.28,-0.20 < x <= 0.02,thetadot <= -1.13,0.02 < x <= 0.29,theta > 1.22,xdot > 0.63,x <= -0.20,-0.57 < xdot <= 0.00,-1.44 < theta <= 0.00,0.00 < thetadot <= 1.28,0.00 < theta <= 1.22,-1.13 < thetadot <= 0.00,0.00 < xdot <= 0.63,x > 0.29,instance_index
0,-0.6630577496850374,0.0024544479204487526,-0.001920249430958194,-0.0018627884180854642,,,,,,,,,,,,,0
1,-0.6814016854303963,,,,0.02322484701841033,-0.015769054554303327,-0.003528551663324274,,,,,,,,,,1
2,,,0.020383140765967266,,,,0.015462439204396454,0.6686683631691377,-0.014097122792022087,,,,,,,,2
3,,,,-0.0032584395721692227,,,,,,-0.66787097781529,0.0072028205519875975,0.00013200342100809856,,,,,3
4,-0.6739075309453743,,,,,,,,0.011171086451042834,,,-0.02417713567794962,0.007422532606241544,,,,4
5,-0.6587603538933011,0.0095862364958461,,,0.003969969053446781,,,,0.005592356896575024,,,,,,,,5
6,,,,,,0.00648844867946254,,,,-0.6477394263496156,0.007618370986824437,,,-0.005221423366096699,,,6
7,-0.6687588477463876,,,,,,,,0.014935734651016,,,-0.013211204850758022,0.018315056368643626,,,,7
8,,,,0.00012252852799499812,,,,,,,,,0.004772508074585425,-0.003106341261107314,0.6666467423163523,,8
9,-0.6493032005953557,,,,0.017927264680266463,-0.013597634720983224,0.023727714538155437,,,,,,,,,,9
10,-0.6548800367978862,,-0.014023613173976147,,,,,,-0.01217059588342377,,-0.006426759294817322,,,,,,10
11,,,,,,-0.010792257381467633,,,,-0.6531520520073749,-0.007008143555896314,,,-0.010140378111728323,,,11
12,,,,-0.02123244873607614,,,,,,-0.6544040670794169,,,-0.013620389811719655,-0.015590655881399889,,,12
13,,0.0005527698276956664,,-0.010580961045600128,,,,0.6639019912091447,,,,,,0.0005811170692186834,,,13
14,-0.6668507644815862,-0.013223910000948953,,,,,,,-0.0032042910056890124,,,,,0.0140375926731667,,,14
15,,,,,,,,,,,-0.00351297013555743,,,-0.017313926280109294,0.6712219617039186,0.009031514920805806,15
16,,,,-0.011721433902716221,,,,,,-0.658099555884609,,,-0.0002349394903838131,0.00029085235508947917,,,16
17,-0.6649894568685955,-0.002537474315895816,0.007144494925928936,,,0.01300966293315756,,,,,,,,,,,17
18,,,,0.013742611878326762,,,,,,-0.6625670731100479,0.0008709339520665447,,,-0.005005199933522225,,,18
19,-0.6658199742675117,-0.009591572897727876,,,-0.012820442367183247,,,,-0.01416422552407699,,,,,,,,19
20,,-0.01869363625227277,,,,0.011330894754225789,,,,-0.6710995944041808,,-0.014462283956389177,,,,,20
21,-0.6523700517616106,,,,-0.0072932718621448915,,-0.0005562168596630342,,0.018908202925129285,,,,,,,,21
22,-0.6683060644404567,,0.004011172194460487,,,0.011033358805939994,,,,,-0.014660276551803113,,,,,,22
23,-0.6703296382142304,0.003451869207183944,,,-0.00011866871670902111,,,,,,,,,,,0.017409728766349008,23
