,Test #,Accuracy,Sensitivity,Specificity
0,0,0.9983333333333333,1.0,0.9972972972972973
1,1,0.9066666666666666,1.0,0.8151815181518152
2,2,0.9708404802744426,1.0,0.9317269076305221
3,3,0.9933333333333333,0.9968847352024922,0.989247311827957
4,4,0.9949832775919732,1.0,0.9921259842519685
5,5,0.9983333333333333,1.0,0.9962962962962963
6,6,0.9983333333333333,1.0,0.9971910112359551
7,7,0.99,0.9854227405247813,0.9961089494163424
8,8,0.9966666666666667,0.9968051118210862,0.9965156794425087
9,9,0.9916666666666667,0.9935483870967742,0.9896551724137931
10,10,0.9966666666666667,0.9964539007092199,0.9968553459119497
11,11,1.0,1.0,1.0
12,12,1.0,1.0,1.0
13,13,0.98,1.0,0.9605263157894737
14,14,1.0,1.0,1.0
15,15,0.9966666666666667,1.0,0.9933993399339934
16,16,1.0,1.0,1.0
17,17,0.9966666666666667,0.9966996699669967,0.9966329966329966
