,Test #,Accuracy,Sensitivity,Specificity
0,0,0.4,0.3081570996978852,0.5130111524163569
1,1,0.2916666666666667,1.0,0.0
2,2,0.5231560891938251,1.0,0.0
3,3,0.5883333333333334,1.0,0.0
4,4,0.782608695652174,,0.782608695652174
5,5,0.5216666666666666,1.0,0.3827956989247312
6,6,0.7466666666666667,0.0,1.0
7,7,0.7466666666666667,0.0,1.0
8,8,0.7533333333333333,,0.7533333333333333
9,9,0.5166666666666667,0.1553030303030303,0.8005952380952381
10,10,0.335,0.2653061224489796,0.3688118811881188
11,11,0.4023372287145242,0.48598130841121495,0.35584415584415585
12,12,0.89,0.7669491525423728,0.9697802197802198
13,13,0.685,0.9306930693069307,0.6352705410821643
14,14,0.5575959933222037,0.6267605633802817,0.3872832369942196
15,15,0.58,0.6089238845144357,0.5296803652968036
16,16,0.4,0.5773195876288659,0.31527093596059114
17,17,0.685,0.4,0.85
