Name,Test #,Loss,Mean Absolute Error (MAE),Mean Absolute Percentange Error (MAPE) %
Dense Untrained,1,0.025281718000769615,0.11901764571666718,138.826904296875
Dense Untrained,2,0.014010690152645111,0.08626458793878555,6667.4287109375
Dense Untrained,3,0.016586538404226303,0.11260382831096649,123.01872253417969
Dense Untrained,4,0.7135207056999207,0.7132894396781921,136.9390869140625
Dense Untrained,5,1.9090614318847656,1.0913362503051758,156.0371551513672
Dense Untrained,6,0.32614779472351074,0.4534763991832733,120.94078063964844
Dense Untrained,7,0.8182868957519531,0.707530677318573,224.76174926757812
Dense Untrained,8,0.8830148577690125,0.8106302618980408,255.6245574951172
Dense Untrained,9,0.9792696833610535,0.9153081178665161,117.59732055664062
Dense Untrained,10,1.0848627090454102,0.8777353763580322,119.06610870361328
Dense Untrained,11,1.9381123781204224,1.1932061910629272,105.70886993408203
Dense Untrained,12,1.5461499691009521,1.0750017166137695,241.80502319335938
Dense Trained,1,0.0008741153287701309,0.024416020140051842,47.13893508911133
Dense Trained,2,0.0010850941762328148,0.02627522684633732,17992.82421875
Dense Trained,3,0.00025270183687098324,0.01263456791639328,29.448135375976562
Dense Trained,4,0.0024088560603559017,0.03872702270746231,28.169618606567383
Dense Trained,5,0.019708897918462753,0.08639073371887207,20.76871109008789
Dense Trained,6,0.0026411819271743298,0.03284330293536186,118.35205078125
Dense Trained,7,0.006103753112256527,0.03210277855396271,31.381433486938477
Dense Trained,8,0.01414254680275917,0.0590750053524971,67.30952453613281
Dense Trained,9,0.012630253098905087,0.0653354600071907,22.22879409790039
Dense Trained,10,0.004736533388495445,0.040105272084474564,13.34079360961914
Dense Trained,11,0.0381164625287056,0.08201276510953903,8.915820121765137
Dense Trained,12,0.026419004425406456,0.07269881665706635,63.25682067871094
Conv Untrained,1,0.02539304830133915,0.11306972801685333,107.97801208496094
Conv Untrained,2,0.016936641186475754,0.0937645211815834,2731.82666015625
Conv Untrained,3,0.007785653695464134,0.07770752906799316,89.18353271484375
Conv Untrained,4,0.6430018544197083,0.6630337834358215,119.14342498779297
Conv Untrained,5,2.0903947353363037,1.1498310565948486,165.04466247558594
Conv Untrained,6,0.39693260192871094,0.4827363193035126,211.44326782226562
Conv Untrained,7,1.1281076669692993,0.8367261290550232,446.4420166015625
Conv Untrained,8,1.065300703048706,0.8553552031517029,1355.1640625
Conv Untrained,9,1.1714178323745728,0.9666006565093994,141.4295196533203
Conv Untrained,10,1.2417726516723633,0.898248016834259,145.4881591796875
Conv Untrained,11,1.9831812381744385,1.2053031921386719,156.42774963378906
Conv Untrained,12,1.6169803142547607,1.0971872806549072,258.4020080566406
Conv Trained,1,0.0001220734411617741,0.00913312379270792,15.342809677124023
Conv Trained,2,8.207720384234563e-05,0.00676431879401207,1127.8603515625
Conv Trained,3,0.0012443134328350425,0.029573827981948853,54.52781295776367
Conv Trained,4,0.0033967397175729275,0.033273931592702866,17.820524215698242
Conv Trained,5,0.007391538005322218,0.0567818246781826,21.01241111755371
Conv Trained,6,0.0005627992213703692,0.019689125940203667,76.77791595458984
Conv Trained,7,0.005400081165134907,0.02280365116894245,29.513151168823242
Conv Trained,8,0.004329482559114695,0.02870476432144642,51.32862091064453
Conv Trained,9,0.0036434016656130552,0.03396439924836159,7.869670391082764
Conv Trained,10,0.004755503032356501,0.03849590942263603,16.612472534179688
Conv Trained,11,0.024104919284582138,0.05301491171121597,7.556654453277588
Conv Trained,12,0.02327464148402214,0.05819493159651756,27.328189849853516
LSTM Untrained,1,0.021945960819721222,0.10123441368341446,83.85523986816406
LSTM Untrained,2,0.013219142332673073,0.08236513286828995,30568.6328125
LSTM Untrained,3,0.010118975304067135,0.07607611268758774,62.87331771850586
LSTM Untrained,4,0.7586095333099365,0.734838604927063,178.3105010986328
LSTM Untrained,5,1.9452792406082153,1.0996779203414917,173.62208557128906
LSTM Untrained,6,0.3948471248149872,0.5207030773162842,380.50885009765625
LSTM Untrained,7,0.8535751104354858,0.7589929699897766,297.4035339355469
LSTM Untrained,8,0.8552053570747375,0.7978352308273315,420.9890441894531
LSTM Untrained,9,0.9563135504722595,0.8896650671958923,122.34940338134766
LSTM Untrained,10,0.9844218492507935,0.8375592231750488,117.29037475585938
LSTM Untrained,11,1.792747139930725,1.1648954153060913,116.91344451904297
LSTM Untrained,12,1.533805251121521,1.08123779296875,197.2579345703125
LSTM Trained,1,6.400658458005637e-05,0.005981662310659885,13.282722473144531
LSTM Trained,2,6.55447001918219e-05,0.006697028409689665,3775.569580078125
LSTM Trained,3,5.887109364266507e-05,0.006301493383944035,11.105032920837402
LSTM Trained,4,0.002060187980532646,0.02509121410548687,14.232382774353027
LSTM Trained,5,0.025564929470419884,0.07556125521659851,15.728806495666504
LSTM Trained,6,0.00029350133263505995,0.013264024630188942,44.5018424987793
LSTM Trained,7,0.005414489656686783,0.02069329097867012,24.835105895996094
LSTM Trained,8,0.008003725670278072,0.027728745713829994,80.41148376464844
LSTM Trained,9,0.0046831476502120495,0.02906119078397751,6.244010925292969
LSTM Trained,10,0.0038558985106647015,0.02634681947529316,6.327438831329346
LSTM Trained,11,0.08810437470674515,0.10048750042915344,8.766831398010254
LSTM Trained,12,0.020323820412158966,0.043036021292209625,39.14957046508789
Residual Untrained,1,1.1973657620956146e-09,2.310585477971472e-05,0.027165604755282402
Residual Untrained,2,4.496605778697704e-12,1.4776051102671772e-06,0.5840858221054077
Residual Untrained,3,5.662679526674541e-12,1.9159388102707453e-06,0.002512148814275861
Residual Untrained,4,5.443676491267979e-05,0.005303451791405678,4.906813144683838
Residual Untrained,5,0.001492067938670516,0.010958008468151093,5.204360485076904
Residual Untrained,6,1.4872523934172932e-05,0.0028397701680660248,3.7978100776672363
Residual Untrained,7,0.004738045856356621,0.0068660215474665165,7.424189567565918
Residual Untrained,8,0.003137087682262063,0.006280756089836359,19.39183807373047
Residual Untrained,9,0.001994214253500104,0.007440151181071997,3.3685789108276367
