Name,Test #,Loss,Mean Absolute Error (MAE),Mean Absolute Percentange Error (MAPE) %
Dense Untrained,1,0.025530618,0.120151743,126.3849716
Dense Untrained,2,0.013366799,0.081899554,9988.431641
Dense Untrained,3,0.016640795,0.112657323,122.2580566
Dense Untrained,4,0.669006348,0.704115093,225.0207367
Dense Untrained,5,1.713199258,1.074851513,154.3086853
Dense Untrained,6,0.387604624,0.474194407,165.8974304
Dense Untrained,7,0.703812897,0.659203589,178.0681305
Dense Untrained,8,0.923291624,0.836529553,359.0729065
Dense Untrained,9,1.034352422,0.93550694,124.8464508
Dense Trained,1,0.002921945,0.042177036,74.5855484
Dense Trained,2,0.002655517,0.033209428,15837.28711
Dense Trained,3,0.00828644,0.074031107,155.4093018
Dense Trained,4,0.022568796,0.112877086,43.11336136
Dense Trained,5,0.074431397,0.192436919,48.25392151
Dense Trained,6,0.021051161,0.118729591,175.1735992
Dense Trained,7,0.043194793,0.124861285,67.81387329
Dense Trained,8,0.004257519,0.032367256,39.44823456
Dense Trained,9,0.001789578,0.009146817,1.488647819
Conv Untrained,1,0.021311201,0.107759222,113.7050858
Conv Untrained,2,0.008576865,0.06548664,959.2671509
Conv Untrained,3,0.015022521,0.098314084,97.75221252
Conv Untrained,4,0.810503662,0.726891518,171.8177185
Conv Untrained,5,1.626247287,0.99598515,169.5974274
Conv Untrained,6,0.404379815,0.540630519,462.9063721
Conv Untrained,7,0.739063203,0.658662736,163.5279083
Conv Untrained,8,1.022680521,0.863932669,492.2431641
Conv Untrained,9,1.171221375,0.977208376,135.9353333
Conv Trained,1,0.00588679,0.058897462,121.7832489
Conv Trained,2,0.005865615,0.063275494,27952.26953
Conv Trained,3,0.001105524,0.029974114,60.22200012
Conv Trained,4,0.012399877,0.074661925,53.74259567
Conv Trained,5,0.029366966,0.122652993,47.07939529
Conv Trained,6,0.007894166,0.063651882,128.9211731
Conv Trained,7,0.054830439,0.132025003,40.44152069
Conv Trained,8,0.003775355,0.025452206,41.05588531
Conv Trained,9,0.001703326,0.006403581,2.315527916
LSTM Untrained,1,0.023106273,0.108474553,101.4566422
LSTM Untrained,2,0.01009602,0.080041461,18112.84766
LSTM Untrained,3,0.008780455,0.070288517,60.82997894
LSTM Untrained,4,0.904264927,0.795961201,140.2498016
LSTM Untrained,5,1.908534646,1.09556222,127.1246567
LSTM Untrained,6,0.364328355,0.497855127,196.3816833
LSTM Untrained,7,0.715535104,0.661282957,217.0323639
LSTM Untrained,8,0.872785151,0.781840622,167.6052246
LSTM Untrained,9,0.962046564,0.856599808,99.49978638
LSTM Trained,1,0.003544877,0.05591017,90.34452057
LSTM Trained,2,0.002702574,0.04816024,16105.19043
LSTM Trained,3,0.002731672,0.046458509,95.35440063
LSTM Trained,4,0.013097572,0.090161331,61.50251389
LSTM Trained,5,0.079574041,0.180950508,35.46277618
LSTM Trained,6,0.023230704,0.108836062,194.6915894
LSTM Trained,7,0.168976516,0.196065977,69.66576385
LSTM Trained,8,0.004612592,0.032822058,160.1637115
LSTM Trained,9,0.001948432,0.009201379,2.26469636
Residual Untrained,1,1.20E-09,2.31E-05,0.027165595
Residual Untrained,2,4.50E-12,1.48E-06,0.584085822
Residual Untrained,3,5.66E-12,1.92E-06,0.002512149
Residual Untrained,4,5.44E-05,0.005303452,4.906812668
Residual Untrained,5,0.001492068,0.010958009,5.204360008
Residual Untrained,6,1.49E-05,0.00283977,3.797809601
Residual Untrained,7,0.004738045,0.006866022,7.424189568
Residual Untrained,8,0.003137088,0.006280756,19.39183807
Residual Untrained,9,0.001994214,0.007440151,3.368579388
Residual Trained,1,7.35E-05,0.005405363,10.14760971
Residual Trained,2,2.85E-05,0.003593613,2068.690674
Residual Trained,3,0.000178999,0.008087676,22.85919762
Residual Trained,4,0.000923506,0.016079664,8.972133636
Residual Trained,5,0.006734442,0.0349163,25.25014305
Residual Trained,6,0.000778822,0.017076969,18.06331825
Residual Trained,7,0.014632596,0.0308725,20.30559158
Residual Trained,8,0.002492347,0.007561786,15.06449604
Residual Trained,9,0.001472819,0.003131724,0.469625086
